0.23,0.32,0.48,0.5,0.55,0.25,0.35,cp
0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp
0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp
0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp
0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp
0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp
0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp
0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp
0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp
0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp
0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp
0.51,0.49,0.48,0.5,0.53,0.14,0.26,cp
0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp
0.52,0.39,0.48,0.5,0.65,0.71,0.73,im
0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
0.2,0.46,0.48,0.5,0.57,0.78,0.81,im
0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
0.11,0.5,0.48,0.5,0.58,0.72,0.68,im
0.69,0.39,0.48,0.5,0.57,0.76,0.79,im
0.63,0.75,0.48,0.5,0.64,0.73,0.66,im
0.7,0.39,1.0,0.5,0.51,0.82,0.84,imL
0.67,0.37,0.48,0.5,0.54,0.64,0.68,imU
0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU
0.69,0.59,0.48,0.5,0.77,0.39,0.21,om
0.63,0.49,0.48,0.5,0.79,0.45,0.28,om
0.67,0.55,1.0,0.5,0.66,0.58,0.16,omL
0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp
0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
0.64,0.78,0.48,0.5,0.5,0.36,0.38,pp
0.76,0.73,0.48,0.5,0.44,0.39,0.39,pp
0.64,0.81,0.48,0.5,0.37,0.39,0.44,pp
