0.2,0.44,0.48,0.5,0.46,0.51,0.57,negative
0.42,0.24,0.48,0.5,0.57,0.27,0.37,negative
0.41,0.57,0.48,0.5,0.39,0.21,0.32,negative
0.36,0.39,0.48,0.5,0.48,0.22,0.23,negative
0.4,0.29,0.48,0.5,0.42,0.35,0.44,negative
0.33,0.45,0.48,0.5,0.52,0.32,0.41,negative
0.35,0.48,0.48,0.5,0.56,0.4,0.48,negative
0.52,0.44,0.48,0.5,0.37,0.36,0.42,negative
0.34,0.46,0.48,0.5,0.52,0.35,0.44,negative
0.3,0.45,0.48,0.5,0.36,0.21,0.32,negative
0.65,0.55,0.48,0.5,0.34,0.37,0.28,negative
0.23,0.34,0.48,0.5,0.43,0.26,0.37,negative
0.16,0.43,0.48,0.5,0.54,0.27,0.37,negative
0.34,0.49,0.48,0.5,0.58,0.85,0.8,negative
0.52,0.39,0.48,0.5,0.65,0.71,0.73,negative
0.64,0.58,0.48,0.5,0.48,0.78,0.73,negative
0.83,0.37,0.48,0.5,0.61,0.71,0.74,negative
0.41,0.51,0.48,0.5,0.53,0.75,0.78,negative
0.59,0.56,0.48,0.5,0.55,0.8,0.82,negative
0.35,0.51,0.48,0.5,0.61,0.71,0.74,negative
0.11,0.5,0.48,0.5,0.58,0.72,0.68,negative
0.36,0.45,0.48,0.5,0.38,0.79,0.17,negative
0.71,0.52,0.48,0.5,0.64,1.0,0.99,negative
0.72,0.42,0.48,0.5,0.65,0.77,0.79,negative
0.79,0.36,0.48,0.5,0.46,0.82,0.7,negative
0.81,0.44,0.48,0.5,0.42,0.67,0.68,negative
0.79,0.54,0.48,0.5,0.5,0.66,0.68,negative
0.57,0.38,0.48,0.5,0.06,0.49,0.33,negative
0.67,0.84,0.48,0.5,0.74,0.54,0.37,negative
0.66,0.86,0.48,0.5,0.34,0.41,0.36,positive
0.71,0.71,0.48,0.5,0.4,0.54,0.39,positive
0.64,0.72,0.48,0.5,0.49,0.42,0.19,positive
0.29,0.39,0.48,0.5,0.52,0.4,0.48,positive
0.62,0.83,0.48,0.5,0.46,0.36,0.4,positive
